timestamp,src_ip,dst_ip,protocol,packet_length,ttl,tcp_flag,window_size,source_location,experiment_id,experiment_timestamp
1783080225.429791,216.239.38.223,192.168.1.31,UDP,66,57,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080226.229682,192.168.1.18,192.168.1.255,UDP,126,64,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080226.325404,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080226.647065,192.168.1.31,239.255.255.250,UDP,212,1,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080226.647778,192.168.1.31,239.255.255.250,UDP,212,1,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080227.588012,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080227.651579,192.168.1.31,239.255.255.250,UDP,212,1,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080227.651604,192.168.1.31,239.255.255.250,UDP,212,1,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080228.663593,192.168.1.31,239.255.255.250,UDP,212,1,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080228.663598,192.168.1.31,239.255.255.250,UDP,212,1,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080228.868462,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080229.367829,192.168.1.31,35.186.224.22,TCP,55,128,A,252.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080229.37272,35.186.224.22,192.168.1.31,TCP,66,120,A,1046.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080229.669071,192.168.1.31,239.255.255.250,UDP,212,1,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080229.669074,192.168.1.31,239.255.255.250,UDP,212,1,,,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080230.126704,192.168.1.31,45.11.45.11,TCP,78,64,S,8192.0,sg,946318ea12b34158a825a975466e0fc5,2026-07-03T12:03:40
1783080257.82329,192.168.1.31,45.11.45.11,TCP,142,64,S,8192.0,sg,89ce5c0eb0fb4e038d3fab1ea02bfbd7,2026-07-03T12:04:17
1783080259.086012,192.168.1.31,45.11.45.11,TCP,142,64,S,8192.0,sg,89ce5c0eb0fb4e038d3fab1ea02bfbd7,2026-07-03T12:04:17
1783080259.309594,192.168.1.31,224.0.0.251,UDP,87,255,,,sg,89ce5c0eb0fb4e038d3fab1ea02bfbd7,2026-07-03T12:04:17
1783080259.317979,192.168.1.31,224.0.0.251,UDP,327,1,,,sg,89ce5c0eb0fb4e038d3fab1ea02bfbd7,2026-07-03T12:04:17
1783080260.36435,192.168.1.31,45.11.45.11,TCP,142,64,S,8192.0,sg,89ce5c0eb0fb4e038d3fab1ea02bfbd7,2026-07-03T12:04:17
1783080261.07243,192.168.1.31,239.255.255.250,UDP,167,255,,,sg,89ce5c0eb0fb4e038d3fab1ea02bfbd7,2026-07-03T12:04:17
1783080261.177847,192.168.1.31,104.199.241.202,TCP,65,128,PA,255.0,sg,89ce5c0eb0fb4e038d3fab1ea02bfbd7,2026-07-03T12:04:17
